content_id,title,author_name,location_name,content_date,file_name,series,book,content_type,active_ind
141,Grace Through Him,Huyen Hoang,Clackamas,8/9/2017,Grace_Through_Him[1].mp3,,,Bible Study,Y
460,Gifts of The Spirit: Tongues,Donald Elwell III,Gladstone,5/19/2021,spiritual-gifts-tongues.pdf,,,Bible Study,Y
526,Thanksgiving,Julie Elwell,Gladstone,11/3/2021,bs2021-11-04pm.mp3,,,Bible Study,N
572,Old Testament Tithing,Patsy Smith,Gladstone,4/6/2022,w2022-04-06am.mp3,,,Bible Study,Y
584,New Testament Giving,Patsy Smith,Gladstone,5/4/2022,bs2022-05-04pm.mp3,,,Bible Study,Y
