content_id	title	author_name	location_name	content_date	file_name	series	book	content_type	active_ind
53	When the Going Gets Tough ...	Don Elwell	Clackamas	2016-05-15	p2016-05-15am.mp3			Message	Y
54	Time to Remember	Don Elwell	Clackamas	2016-05-29	p2016-05-29am.mp3			Message	Y
55	I'm Not Who I Used To Be	Don Elwell	Clackamas	2016-06-05	p2016-06-05am.mp3			Message	Y
56	Christ our Stabilizing Force	Don Elwell	Clackamas	2016-06-12	p2016-06-12am.mp3			Message	Y
57	He Maketh the Storm a Calm	Huyen Hoang	Clackamas	2016-07-03	p2016-07-03am.mp3			Message	Y
58	Carefully Maintain Good Works	Don Elwell	Clackamas	2016-07-10	p2016-07-10am.mp3			Message	Y
59	Hope	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-198.mp3			Singing	Y
60	The Solid Rock	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-51.mp3			Singing	Y
61	Beautiful	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-182.mp3			Singing	Y
62	Sweet Bye and Bye	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-byeNbye.mp3			Singing	Y
63	Sitting at the Feet of Jesus	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-175.mp3			Singing	Y
64	Lighthouse	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-lighthouse.mp3			Singing	Y
65	What a Friend	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-179.mp3			Singing	Y
66	God is Love	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-140.mp3			Singing	Y
67	Abide With Me	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-342.mp3			Singing	Y
68	The Virtue of Faith	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-284.mp3			Singing	Y
69	Holding On to Jesus	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-holding.mp3			Singing	Y
70	Amazing Love	Joe Elwell Family	Clackamas	2016-07-03	2016-07-03-amazing.mp3			Singing	Y
71	Soaring Like Eagles	Fari Matthews	Clackamas	2016-08-07	p2016-08-07am.mp3			Message	Y
72	Taking God at His Word	Ken Elwell	Clackamas	2016-08-21	p2016-08-21am.mp3			Message	Y
73	Spiritual Maintenance	Don Elwell	Clackamas	2016-08-28	p2016-08-28am.mp3			Message	Y
74	A Time to Build	Don Elwell	Clackamas	2016-09-11	p2016-09-11am.mp3			Message	Y
75	A Love Beyond Nostalgia	Huyen Hoang	Clackamas	2016-09-04	p2016-09-04am.mp3			Message	Y
76	Our Greatest Thoughts	Huyen Hoang	Clackamas	2016-10-30	Our Greatest Thoughts .mp3			Message	Y
77	Passive Agressive	Huyen Hoang	Clackamas	2016-11-13	Passive Aggressive.mp3			Message	Y
78	Take the Shield of Faith	Don Elwell	Clackamas	2016-10-23	p2016-10-23am.mp3			Message	Y
79	Covenant Wrought By Faith	Don Elwell	Gladstone	2016-11-06	p2016-11-06am.mp3			Message	Y
80	Robbing God	Don Elwell	Clackamas	2016-12-11	p2016-12-11am.mp3			Message	Y
81	Remember Me	Huyen Hoang	Clackamas	2016-12-18	p2016-12-18am.mp3			Message	Y
82	The Love Mender	Huyen Hoang	Clackamas	2016-11-27	p2016-11-27am.mp3			Message	Y
83	Not Coming This Way Before	Huyen Hoang	Clackamas	2017-01-01	YeHaveNotGoneThisWay.mp3			Message	Y
84	A Cheat Sheet	Huyen Hoang	Clackamas	2017-01-01	A Cheat Sheet.mp3			Message	Y
85	Building Confidence	Don Elwell	Clackamas	2017-01-15	Building Confidence.mp3			Message	Y
86	A Friend Closer Than A Brother	Steve Elwell	Clackamas	2015-02-15	FriendCloser.mp3			Message	Y
87	God Has One True Doctrine	Steve Elwell	Clackamas	2015-02-01	God Has One True Doctrine.mp3			Message	Y
88	God Hath Commanded a Blessing	Steve Elwell	Clackamas	2015-03-15	GodCommandedBlessing.mp3			Message	Y
89	God's Wisdom	Steve Elwell	Clackamas	2015-03-01	Gods Wisdom.mp3			Message	Y
